id,tipo,nome
0,id,inicio
1,sb,:
2,ql,\n
3,tb,'    '
4,id,a
5,sp,' '
6,sb,=
7,sp,' '
8,lt,30
9,tr,;
10,ql,\n
11,tb,'    '
12,id,b
13,sp,' '
14,sb,=
15,sp,' '
16,lt,'teste'
17,tr,;
18,ql,\n
19,tb,'    '
20,kw,if
21,sb,(
22,id,a
23,sp,' '
24,sb,>
25,sp,' '
26,lt,10
27,sb,)
28,sb,{
29,ql,\n
30,tb,'    '
31,kw,show
32,sb,(
33,id,b
34,sb,)
35,tr,;
36,ql,\n
37,tb,'    '
38,sb,}
39,tr,;
40,ql,\n
41,tb,'    '
42,id,c
43,sp,' '
44,sb,=
45,sp,' '
46,lt,true
47,tr,;
48,ql,\n
49,tb,'    '
50,id,d
51,sp,' '
52,sb,=
53,sp,' '
54,lt,false
55,tr,;
56,ql,\n
57,tb,'    '
58,kw,if
59,sb,(
60,id,c
61,sp,' '
62,sb,or
63,sp,' '
64,id,d
65,sb,)
66,sb,{
67,ql,\n
68,tb,'    '
69,tb,'    '
70,kw,show
71,sb,(
72,id,a
73,sb,)
74,tr,;
75,ql,\n
76,tb,'    '
77,sb,}
78,tr,;
79,ql,\n
80,tb,'    '
81,id,e
82,sp,' '
83,sb,=
84,sp,' '
85,lt,'victor'
86,tr,;
87,ql,\n
88,tb,'    '
89,kw,show
90,sb,(
91,id,e
92,sb,)
93,tr,;
94,ql,\n
95,tb,'    '
96,id,f
97,sp,' '
98,sb,=
99,sp,' '
100,lt,20
101,tr,;
102,ql,\n
103,tb,'    '
104,id,g
105,sp,' '
106,sb,=
107,sp,' '
108,id,f
109,sp,' '
110,sb,+
111,sp,' '
112,id,a
113,tr,;
114,ql,\n
115,tb,'    '
116,kw,if
117,sb,(
118,id,g
119,sp,' '
120,sb,==
121,sp,' '
122,lt,50
123,sb,)
124,sb,{
125,ql,\n
126,tb,'    '
127,tb,'    '
128,kw,goto
129,sb,(
130,id,fim
131,sb,)
132,tr,;
133,ql,\n
134,tb,'    '
135,sb,}
136,tr,;
137,ql,\n
138,tb,'    '
139,kw,goto
140,sb,(
141,id,inicio
142,sb,)
143,tr,;
144,ql,\n
145,id,fim
146,sb,:
147,ql,\n
148,tb,'    '
149,kw,end
150,tr,;
151,ql,\n
